Code Barre;Référence;Montant prix achat;Désignation;Quantité;Tva;Montant prix moyen;Prix de vente Gros;Prix de vente Min;Date d'éxpiration
6932582912553;6932582912553;0,00;55W;0;19,00;0,00;0,00;0,00;
67990006900;ART00001317;0,00;5MINUTE EXTREME;0;19,00;0,00;0,00;0,00;
67990008485;ART00001318;0,00;5MINUTE WHITENING;0;19,00;0,00;0,00;0,00;
85805390402;ART00001439;0,00;5TH AVENUE 30ML;0;19,00;0,00;0,00;0,00;
85805043476;ART00001437;0,00;5TH AVENUE AFTER FIV;0;19,00;0,00;0,00;0,00;
85805086541;ART00001438;0,00;5TH AVENUE NIGHT 125;0;19,00;0,00;0,00;0,00;
6130194000624;6130194000624;0,00;6134146000113;0;19,00;0,00;0,00;0,00;
6132503880156;ART00021862;0,00;6FOURRES PALMARY;0;19,00;0,00;0,00;0,00;
6932582900017;6932582900017;0,00;6W;0;19,00;0,00;0,00;0,00;
8681259500378;8681259500378;0,00;7 STICK;0;19,00;0,00;0,00;0,00;
5201360750498;ART00015578;0,00;7DYS SWISS ROLL/FR;0;19,00;0,00;0,00;0,00;
8681259500224;8681259500224;0,00;7STICK;0;19,00;0,00;0,00;0,00;
6130743017080;6130743017080;0,00;7UP 2L;0;19,00;0,00;0,00;0,00;
6130743016762;6130743016762;0,00;7UP 33CL;0;19,00;0,00;0,00;0,00;
3502110005311;ART00010599;0,00;7UP CHERRY/33CL;0;19,00;0,00;0,00;0,00;
6130743002338;ART00019993;0,00;7UP CITRON/33CL;0;19,00;0,00;0,00;0,00;
2000000003160;00221;0,00;7UP MOJITO ;0;19,00;0,00;0,00;0,00;
3502110005137;ART00010598;0,00;7UP TROPICAL/33CL;0;19,00;0,00;0,00;0,00;
6130432000027;ART00018838;0,00;8CHOCO LE REGAL;0;19,00;0,00;0,00;0,00;
6130432000010;ART00018837;0,00;9CHOCO RAIS SOUMMAM;0;19,00;0,00;0,00;0,00;
011;011;0,00;9louza ;0;19,00;0,00;0,00;0,00;
3760048795340;ART00012639;0,00;A LA FOLIE MAUBOUSSI;0;19,00;0,00;0,00;0,00;
3178040508026;ART00007085;0,00;A.CELLULITE DIADERMI;0;19,00;0,00;0,00;0,00;
3052503655208;ART00004884;0,00;A.CERNE BRJ HEALTH52;0;19,00;0,00;0,00;0,00;
3052503606224;ART00004853;0,00;A.CERNE BRJ HEALTH62;0;19,00;0,00;0,00;0,00;
3052503606125;ART00004852;0,00;A.CERNE BRJ HELTH61;0;19,00;0,00;0,00;0,00;
3052503655109;ART00004883;0,00;A.CERNE BRJ HELTHY51;0;19,00;0,00;0,00;0,00;
3052503637204;ART00004876;0,00;A.CERNE BRJ STICK 72;0;19,00;0,00;0,00;0,00;
3052503637105;ART00004875;0,00;A.CERNE BRJ STICK71;0;19,00;0,00;0,00;0,00;
3052503572109;ART00004827;0,00;A.CERNE CC CREME 21;0;19,00;0,00;0,00;0,00;
3052503572208;ART00004828;0,00;A.CERNE CC CREME 22;0;19,00;0,00;0,00;0,00;
3052503572307;ART00004829;0,00;A.CERNE CC CREME 23;0;19,00;0,00;0,00;0,00;
3760070499902;ART00012892;0,00;A.P/RASAGE MP3;0;19,00;0,00;0,00;0,00;
6130335105027;ART00018440;0,00;A.R CLASS MARINE;0;19,00;0,00;0,00;0,00;
3014260236632;ART00003193;0,00;A.R GILLETTE COOL;0;19,00;0,00;0,00;0,00;
7702018930845;ART00024812;0,00;A.R GILLETTE FUSION;0;19,00;0,00;0,00;0,00;
3014260227159;ART00003187;0,00;A.R GILLETTE PACIFIC;0;19,00;0,00;0,00;0,00;
3014260305642;ART00003267;0,00;A.R GILLETTE STORM;0;19,00;0,00;0,00;0,00;
3014230025235;ART00003144;0,00;A.RASAEGE BRUT INSTI;0;19,00;0,00;0,00;0,00;
6130024160535;ART00017584;0,00;A.RASAGE BRONX VENUS;0;19,00;0,00;0,00;0,00;
2004040900106;ART00002917;0,00;A.RASAGE CLASS BAUME;0;19,00;0,00;0,00;0,00;
9014200006664;ART00031354;0,00;A.RASAGE DENIM BLACK;0;19,00;0,00;0,00;0,00;
8000630087114;ART00025169;0,00;A.RASAGE DENIM MUSK;0;19,00;0,00;0,00;0,00;
8000630086100;ART00025168;0,00;A.RASAGE DENIM ORIGI;0;19,00;0,00;0,00;0,00;
9014200000549;ART00031353;0,00;A.RASAGE DENIM TORNA;0;19,00;0,00;0,00;0,00;
4015000527644;ART00014265;0,00;A.RASAGE FA SPEEDSTE;0;19,00;0,00;0,00;0,00;
4015000527637;ART00014264;0,00;A.RASAGE FA SPICY;0;19,00;0,00;0,00;0,00;
4015000527620;ART00014263;0,00;A.RASAGE FA SPORT;0;19,00;0,00;0,00;0,00;
4005808221967;ART00013446;0,00;A.RASAGE NIVEA BAUME;0;19,00;0,00;0,00;0,00;
4005808221769;ART00013444;0,00;A.RASAGE NIVEA BAUME;0;19,00;0,00;0,00;0,00;
4005808222261;ART00013447;0,00;A.RASAGE NIVEA LOTIO;0;19,00;0,00;0,00;0,00;
3050070004023;ART00004464;0,00;A.RASAGE SCORPIO ROU;0;19,00;0,00;0,00;0,00;
3600550192995;ART00012128;0,00;A.SH DESSANGE LISS;0;19,00;0,00;0,00;0,00;
3600550041330;ART00011966;0,00;A.SH DESSANGE NUTRI;0;19,00;0,00;0,00;0,00;
3600550041347;ART00011967;0,00;A.SH DESSANGE REVEIL;0;19,00;0,00;0,00;0,00;
3600550039122;ART00011961;0,00;A.SH DESSANGE THERMO;0;19,00;0,00;0,00;0,00;
3600521197899;ART00011317;0,00;A.SH ELSEVE NUTRI G;0;19,00;0,00;0,00;0,00;
2004040200053;ART00002566;0,00;A.SH HAIRBLL;0;19,00;0,00;0,00;0,00;
6130097092030;ART00017919;0,00;A.SH ICOSIOM;0;19,00;0,00;0,00;0,00;
869063706928;ART00001900;0,00;A.SH SUNSILK SOFT SM;0;19,00;0,00;0,00;0,00;
2004040200060;ART00002567;0,00;A.SH WELLAZID 250ML;0;19,00;0,00;0,00;0,00;
3152210009001;ART00006719;0,00;A.TACHE EAU ECARLATE;0;19,00;0,00;0,00;0,00;
6130216050095;ART00018046;0,00;A.TARTR/FORCE XPRESS;0;19,00;0,00;0,00;0,00;
8717644108031;ART00030682;0,00;A/ RASAGE AXE VICE;0;19,00;0,00;0,00;0,00;
3014230022234;ART00003140;0,00;A/ RASAGE BRUT MUSC;0;19,00;0,00;0,00;0,00;
3574661002378;ART00011021;0,00;A/ SH P MARSEILLE KA;0;19,00;0,00;0,00;0,00;
8717163287491;ART00030417;0,00;A/ SH SUNSILK REPARA;0;19,00;0,00;0,00;0,00;
4015600720896;ART00014498;0,00;A/ SH WELLA REPAIR;0;19,00;0,00;0,00;0,00;
6130216050057;ART00018042;0,00;A/CALC FORCE XPRESS;0;19,00;0,00;0,00;0,00;
4005808186457;ART00013429;0,00;A/E NIVEA BEAUM;0;19,00;0,00;0,00;0,00;
50285938;ART00000782;0,00;A/R AXE AFRICA;0;19,00;0,00;0,00;0,00;
8717644285930;ART00030733;0,00;A/R AXE CHOCOLAT;0;19,00;0,00;0,00;0,00;
50287178;ART00000791;0,00;A/R AXE PULSE;0;19,00;0,00;0,00;0,00;
50287468;ART00000794;0,00;A/R AXE SHAVE TOUCH;0;19,00;0,00;0,00;0,00;
40883366;ART00000595;0,00;A/R AXE UNLIMITED;0;19,00;0,00;0,00;0,00;
3014260287092;ART00003248;0,00;A/R GEL GILLETTE NOR;0;19,00;0,00;0,00;0,00;
3014260284374;ART00003243;0,00;A/R GEL GILLETTE PRO;0;19,00;0,00;0,00;0,00;
3014260324711;ART00003291;0,00;A/R GEL GILLETTE SOO;0;19,00;0,00;0,00;0,00;
